영문항공사명,korAirline,carrierCode,항공사코드2(ICAO),항공사상태,사업모델,국가,지역
Broome Aviation,브룸 항공,n/a,n/a,Active,Charter,Australia,아시아태평양
Brussels Airlines,브뤼셀 항공,SN,BEL,Active,Full Service Carrier,Belgium,유럽
Budapest Aircraft Service,부다페스트 에어크래프트 서비스,RP,BPS,Active,Charter,Hungary,유럽
Buddha Air,부다 에어,U4,BHA,Active,Regional/Commuter,Nepal,아시아태평양
Budget Lines,버짓 라인,BD,BGN,Active,Charter,Thailand,아시아태평양
Buffalo Airways,버팔로 항공,J0,BFL,Active,Charter,Canada,북미캐나다
Bukovyna Airlines,부코비나 항공,n/a,BKV,Active,Charter,Ukraine,유럽
Bul Air,불 항공,LB,BVL,Active,Charter,Bulgaria,유럽
Bulgaria Air,불가리아 항공,FB,LZB,Active,Full Service Carrier,Bulgaria,유럽
Bulgarian Eagle,불가리안 이글,n/a,BEG,Ceased Operations,Charter,Bulgaria,유럽
Bural,부랄 항공,n/a,n/a,Ceased Operations,Charter,Russian Federation,유럽
Buraq Air,부라키 항공,UZ,BRQ,Active,Full Service Carrier,Libya,중동아프리카
Burundaiavia,부룬디아비아,n/a,BRY,Active,Charter,Kazakhstan,아시아태평양
Business Air,비즈니스 에어,8B,BCC,Ceased Operations,Full Service Carrier,Thailand,아시아태평양
Business Airlines,비즈니스 항공사,n/a,n/a,Active,Charter,Ukraine,유럽
Business Aviation Centre,비즈니스 항공 센터,UQ,n/a,Active,Charter,Ukraine,유럽
Business Aviation of Congo,비즈니스 콩고 에비에이션,n/a,n/a,Ceased Operations,Charter,Democratic Republic of the Congo,중동아프리카
Busy Bee Congo,비지비 콩고,n/a,n/a,Active,Charter,Democratic Republic of the Congo,중동아프리카
Buta Airways,부다 항공,n/a,n/a,Ceased Operations,Low Cost Carrier,Azerbaijan,유럽
Buzz,버즈,RR,RYS,Active,Charter,Poland,유럽
Buzz 2004,버즈2004,n/a,n/a,Ceased Operations,Low Cost Carrier,United Kingdom,유럽
Buzz Aero,버즈 에어로,n/a,FXP,Active,Charter,Romania,유럽
Buzz Airways,버즈 항공,1X,n/a,Ceased Operations,Virtual Carrier,United States of America,북미캐나다
BVI Airways,BVI 항공,4V,BVI,Ceased Operations,Charter,British Virgin Islands,중남미
C & M Airways,씨앤엠 항공,n/a,RWG,Active,Charter,United States of America,북미캐나다
Cabo Verde Airlines,카페베르데 항공,VR,TCV,Active,Full Service Carrier,Cape Verde,중동아프리카
Cabo Verde Express,카보베르데 익스프레스,n/a,CVE,Active,Charter,Cape Verde,중동아프리카
CAI First,CAI 퍼스트 항공,XM,SMX,Ceased Operations,Regional/Commuter,Italy,유럽
CAI Second,CAI 세컨드 항공,VE,VLE,Ceased Operations,Low Cost Carrier,Italy,유럽
Caicos Express Airways,카이코스 익스프레스 항공,9Q,CXE,Active,Charter,Turks and Caicos Islands,중남미
Cairo Aviation,카이로 항공,n/a,CCE,Active,Charter,Egypt,중동아프리카
Cal Jet Air,칼 제트 에어,n/a,n/a,Ceased Operations,Full Service Carrier,United States of America,북미캐나다
Cal Jet Elite Airways,칼 제트 엘리트 에어,n/a,n/a,Active,Virtual Carrier,United States of America,북미캐나다
Calafia Airlines,칼라피아 항공,A7,CFV,Active,Regional/Commuter,Mexico,중남미
California Pacific Airlines,캘리포니아 퍼시픽 항공,n/a,n/a,Ceased Operations,Full Service Carrier,United States of America,북미캐나다
Calima Aviacion,칼리마 항공,n/a,CMV,Active,Charter,Spain,유럽
Cally Air,캘리 에어,n/a,n/a,Active,Full Service Carrier,Nigeria,중동아프리카
Calm Air,캄 에어,MO,CAV,Active,Regional/Commuter,Canada,북미캐나다
Camair-Co,카메룬 항공,QC,CRC,Active,Full Service Carrier,Cameroon,중동아프리카
Cambodia Airlines,캄보디아 항공,n/a,CCL,Failed startup,Low Cost Carrier,Cambodia,아시아태평양
Cambodia Airways,캄보디아 항공,KR,KME,Active,Full Service Carrier,Cambodia,아시아태평양
Cambodia Angkor Air,캄보디아 앙코르 항공,K6,KHV,Active,Full Service Carrier,Cambodia,아시아태평양
Cambodia Bayon Airlines,캄보디아 바이욘 항공,BD,BYC,Ceased Operations,Full Service Carrier,Cambodia,아시아태평양
CAMEX Adria Airlines,카멕스 아드리아 항공,n/a,n/a,Startup,Cargo,Slovenia,유럽
CAMEX Airlines,카멕스항공,Z7,CMS,Active,Cargo,Georgia,유럽
Canada Jetlines,캐나다 제트라인,AU,CJL,Active,Low Cost Carrier,Canada,북미캐나다
Canadian Airways Congo,캐나다 콩고 항공,n/a,TWC,Active,Regional/Commuter,Republic of the Congo,중동아프리카
Canadian North,캐나다 북부 항공,5T,MPE,Active,Regional/Commuter,Canada,북미캐나다
Canarian Airways,카나리아 항공,n/a,n/a,Startup,Full Service Carrier,Spain,유럽
CanaryFly,카나리플라이 항공,PM,CNF,Active,Regional/Commuter,Spain,유럽
CanJet Airlines,캔제트 항공,C6,CJA,Ceased Operations,Charter,Canada,북미캐나다
Cape Air,케이프 항공,9K,KAP,Active,Regional/Commuter,United States of America,북미캐나다
Capital Airlines Nigeria,캐피탈 항공 나이지리아,n/a,NCP,Ceased Operations,Charter,Nigeria,중동아프리카
Capital Cargo International,캐피탈 카고 인터내셔널,PT,CCI,Ceased Operations,Cargo,United States of America,북미캐나다
Cardig Air,카딕 에어,8F,CAD,Active,Cargo,Indonesia,아시아태평양
Cardinal Prestige Helicopter Charter,카디널 프레스티지 헬리콥터 차터,n/a,n/a,Active,Charter,United Kingdom,유럽
Cargo Air Bulgaria,카고 에어 불가리아,n/a,CGF,Active,Cargo,Bulgaria,유럽
Cargo Airways International,카고 에어 인터내셔널,n/a,n/a,Ceased Operations,Cargo,Cameroon,중동아프리카
Cargo Three,카고 쓰리,C3,CTW,Active,Cargo,Panama,중남미
Cargoitalia,카고이탈리아,2G,CRG,Ceased Operations,Cargo,Italy,유럽
Cargojet Airways,카고제트 항공,W8,CJT,Active,Cargo,Canada,북미캐나다
CargoLogic Germany,카고로직 독일 항공,6L,GCL,Active,Cargo,Germany,유럽
CargoLogicAir,카고로직 에어,P3,CLU,Ceased Operations,Cargo,United Kingdom,유럽
Cargolux Airlines International,카고룩스 국제항공,CV,CLX,Active,Cargo,Luxembourg,유럽
Cargolux Italia,카고룩스 이탈리아,C8,ICV,Active,Cargo,Italy,유럽
Carib South Airways,카리브 사우스 항공,n/a,n/a,Active,Cargo,United States of America,북미캐나다
Caribbean Airlines,카리브 항공,BW,BWA,Active,Full Service Carrier,Trinidad and Tobago,중남미
Caricom Airways,캐리콤항공,n/a,n/a,Ceased Operations,Charter,Suriname,중남미
Carinair Airlines,카린에어 항공,n/a,n/a,Startup,Full Service Carrier,Malta,유럽
Carpatair,카르파트에어,V3,KRP,Active,Regional/Commuter,Romania,유럽
Cascadia Air,카스카디아 항공,n/a,CBF,Ceased Operations,Regional/Commuter,Canada,북미캐나다
Caspian Airlines,카스피안 항공,n/a,CPN,Active,Full Service Carrier,Iran,중동아프리카
Caterham Jet,캐이터햄 제트 항공,n/a,n/a,Failed startup,Charter,Malaysia,아시아태평양
Cathay Dragon,케세이 드래곤,KA,HDA,Ceased Operations,Full Service Carrier,Hong Kong,아시아태평양
Cathay Pacific,캐세이퍼시픽 항공,CX,CPA,Active,Full Service Carrier,Hong Kong,아시아태평양
Cavok Air,카복 항공,n/a,CVK,Active,Cargo,Ukraine,유럽
Cayman Airways,케이맨 항공,KX,CAY,Active,Full Service Carrier,Cayman Islands,중남미
Cebgo,세브고,DG,SRQ,Active,Low Cost Carrier,Philippines,아시아태평양
Cebu Pacific,세부 퍼시픽 항공,5J,CEB,Active,Low Cost Carrier,Philippines,아시아태평양
CEIBA Intercontinental,세이바 인터콘티넨탈,C2,CEL,Active,Full Service Carrier,Equatorial Guinea,중동아프리카
Celebes Air,셀레베스 항공,n/a,n/a,Active,Regional/Commuter,Indonesia,아시아태평양
Celeste,셀레스트,n/a,n/a,Startup,Regional/Commuter,France,유럽
Cello Aviation,첼로 항공,n/a,CLJ,Ceased Operations,Charter,United Kingdom,유럽
CemAir,셈에어,5Z,KEM,Active,Charter,South Africa,중동아프리카
Center South Airlines,센터 사우스 항공,n/a,n/a,Ceased Operations,Charter,Russian Federation,유럽
Central American Airways,센트럴 아메리칸 항공,n/a,CRW,Ceased Operations,Charter,Honduras,중남미
Central Asian Aviation Services,중앙아시아 항공 서비스,n/a,n/a,Failed startup,Charter,United Arab Emirates,중동아프리카
Central Charter Airlines Slovakia,센트럴 차터 슬로바키아 항공,n/a,n/a,Active,Charter,Slovakia,유럽
Central Connect Airlines,센트럴 컨넥트 항공,3B,JBR,Ceased Operations,Regional/Commuter,Czech Republic,유럽
Central Mountain Air,센터럴 마운틴에어,9M,GLR,Active,Regional/Commuter,Canada,북미캐나다
Centrum Air,센트럼 에어,n/a,n/a,Active,Low Cost Carrier,Uzbekistan,아시아태평양
Centurion Cargo,센튜리온 카고,WE,CWC,Ceased Operations,Cargo,United States of America,북미캐나다
Cetraca Air Service,세트라카 항공 서비스,n/a,n/a,Active,Charter,Democratic Republic of the Congo,중동아프리카
CFA Air Charter,CFA 항공 차터,n/a,n/a,Active,Charter,South Africa,중동아프리카
Chair Airlines AG,체어항공 AG,GM,GSW,Active,Full Service Carrier,Switzerland,유럽
Chalair Aviation,샬레어 항공,CE,CLG,Active,Regional/Commuter,France,유럽
Challenge Airlines,챌린지 항공,X7,CHG,Active,Cargo,Belgium,유럽
Challenge Airlines IL,챌린지 항공 IL,5C,ICL,Active,Cargo,Israel,중동아프리카
Cham Wings Airlines,참윙스 항공,6Q,SAW,Active,Full Service Carrier,Syria,중동아프리카
Chanchangi Airlines,찬창이 항공,n/a,NCH,Ceased Operations,Full Service Carrier,Nigeria,중동아프리카
Chartair,샤테어,n/a,n/a,Active,Charter,Australia,아시아태평양
Charter Air Transport,차터 에어 트랜스포트,VC,SRY,Active,Charter,United States of America,북미캐나다
Chathams Pacific Airlines,채텀스 퍼시픽 항공,n/a,n/a,Ceased Operations,Regional/Commuter,Tonga,아시아태평양
Chautauqua Airlines,셔터쿼 항공,RP,CHQ,Ceased Operations,Regional/Commuter,United States of America,북미캐나다
CHC Cameroon,CHC 카메룬,n/a,n/a,Ceased Operations,Charter,Cameroon,중동아프리카
CHC Helicopters Australia,CHC 헬리콥터 호주,n/a,n/a,Active,Charter,Australia,아시아태평양
CHC Helicopters Nigeria,CHC 헬리콥터 나이지리아,n/a,ATQ,Active,Charter,Nigeria,중동아프리카
CHC Stellavia,CHC 스텔라비아,n/a,n/a,Ceased Operations,Charter,Democratic Republic of the Congo,중동아프리카
Chelyabinsk Airline,첼랴빈스크 항공,n/a,n/a,Ceased Operations,Charter,Russian Federation,유럽
Chengdu Airlines,청두 항공,EU,UEA,Active,Full Service Carrier,China,아시아태평양
Cherokee Air,체로키 항공,n/a,FSS,Active,Charter,Bahamas,중남미
Chilean Airways,칠레 항공,n/a,n/a,Active,Regional/Commuter,Chile,중남미
Chilejet,칠레제트,H8,n/a,Ceased Operations,Charter,Chile,중남미
China Air Cargo,차이나 에어 카고,ZY,CCO,Grounded,Cargo,China,아시아태평양
China Airlines,중화 항공,CI,CAL,Active,Full Service Carrier,Taiwan,아시아태평양
China Cargo Airlines,중국 화물 항공,CK,CKK,Active,Cargo,China,아시아태평양
China Central Airlines,중국 중앙 항공,I9,HLF,Active,Cargo,China,아시아태평양
China Eastern Airlines,중국 동방 항공,MU,CES,Active,Full Service Carrier,China,아시아태평양
China Express Airlines,중국 익스프레스 항공,G5,HXA,Active,Regional/Commuter,China,아시아태평양
China Flying Dragon Aviation,차이나 플라잉드라곤 항공,n/a,CFA,Active,Charter,China,아시아태평양
China Northwestern Cargo International Airlines,중국 노스웨스턴 국제항공 ,CO,CNW,Active,Cargo,China,아시아태평양
China Postal Airlines,차이나 포스탈 항공,CF,CYZ,Active,Cargo,China,아시아태평양
China Southern Airlines,중국 남방 항공,CZ,CSN,Active,Full Service Carrier,China,아시아태평양
China United Airlines,차이나 유나이티드 항공,KN,CUA,Active,Low Cost Carrier,China,아시아태평양
China Xinhua Airlines,차이나 신화 항공,n/a,n/a,Active,Charter,China,아시아태평양
Choice Aire,초이스 에어,n/a,n/a,Active,Virtual Carrier,United States of America,북미캐나다
Chongqing Airlines,충칭 항공,OQ,CQN,Active,Full Service Carrier,China,아시아태평양
Chrono Aviation,크로노 항공,n/a,NDL,Active,Charter,Canada,북미캐나다
Chukotavia,추코타비아,n/a,n/a,Active,Charter,Russian Federation,유럽
Ciao Fly,차오플라이 항공,n/a,n/a,Ceased Operations,Low Cost Carrier,Italy,유럽
Cielos Airlines,시엘로스 항공,A2,CIU,Active,Cargo,Peru,중남미
Cimber A/S,심버 A/S,QA,CIM,Ceased Operations,Charter,Denmark,유럽
Cinnamon Air,시나몬 에어,C7,CIN,Active,Regional/Commuter,Sri Lanka,아시아태평양
Cirrus Airlines,시러스 항공,C9,RUS,Ceased Operations,Regional/Commuter,Germany,유럽
CIT Airways,CIT 항공,n/a,n/a,Failed startup,Full Service Carrier,Dominica,중남미
Citilink,시티링크,QG,CTV,Active,Low Cost Carrier,Indonesia,아시아태평양
Citrus Airline,시트러스 항공,XT,CTU,Ceased Operations,Low Cost Carrier,Russian Federation,유럽
City Airline,시티 항공,CF,SDR,Ceased Operations,Regional/Commuter,Sweden,유럽
City Airlines,시티 항공,VL,LHX,Startup,Regional/Commuter,Germany,유럽
City Airways,시티 항공,E8,GTA,Ceased Operations,Full Service Carrier,Thailand,아시아태평양
CityJet,시티제트,WX,BCY,Active,Regional/Commuter,Ireland,유럽
Cityline Hungary,시티라인 헝가리,n/a,CNB,Active,Charter,Hungary,유럽
Citywing,시티윙,n/a,n/a,Ceased Operations,Regional/Commuter,United Kingdom,유럽
Civair Helicopters,시바이어 헬리콥터스,n/a,n/a,Active,Charter,South Africa,중동아프리카
Classic Norway Air,클래식 노르웨이 항공,n/a,n/a,Ceased Operations,Charter,Norway,유럽
Clay Lacy Aviation,클레이레이스 항공,n/a,CLY,Active,Charter,United States of America,북미캐나다
Clesh Aviation,클레시 항공,n/a,n/a,Ceased Operations,Charter,Republic of the Congo,중동아프리카
Clic air,클릭 에어,VE,EFY,Active,Regional/Commuter,Colombia,중남미
Click Airways International,클릭 에어웨이 인터내셔널,n/a,n/a,Ceased Operations,Cargo,United Arab Emirates,중동아프리카
Club One Air,클럽 원에어,n/a,n/a,Active,Charter,India,아시아태평양
CM Airlines,CM 항공,H5,OMT,Active,Regional/Commuter,Honduras,중남미
CMA CGM Air Cargo,CMA CGM 화물항공,2C,CMA,Active,Cargo,France,유럽
CMC Aviation,CMC 항공,n/a,n/a,Ceased Operations,Charter,Kenya,중동아프리카
Coast Air,코스트 항공,n/a,n/a,Ceased Operations,Charter,Norway,유럽
Coastal Air,코스탈 항공,n/a,CXT,Active,Regional/Commuter,Virgin Islands US,북미캐나다
Coastal Aviation,코스탈 항공,CQ,CSV,Active,Charter,Tanzania,중동아프리카
Cobalt Air,코발트 항공,CO,FCB,Ceased Operations,Full Service Carrier,Cyprus,유럽
Cobham Aviation Services,코브함 항공 서비스,n/a,QJE,Active,Regional/Commuter,Australia,아시아태평양
Cobra Jet Aviation,코브라 제트 항공,n/a,COB,Active,Charter,Egypt,중동아프리카
Colgan Air,콜건 에어,n/a,CJC,Ceased Operations,Regional/Commuter,United States of America,북미캐나다
Colombe Airlines,콜롬브 항공,n/a,CBL,Active,Regional/Commuter,Burkina Faso,중동아프리카
Colorful Guizhou Airlines ,컬러풀 구이저우 항공,GY,CGZ,Active,Low Cost Carrier,China,아시아태평양
Comair,컴에어,OH,COM,Ceased Operations,Regional/Commuter,United States of America,북미캐나다
Comair South Africa,컴에어 사우스아프리카,MN,CAW,Ceased Operations,Low Cost Carrier,South Africa,중동아프리카
Comlux Aviation,콤럭스 항공,n/a,n/a,Active,Charter,Switzerland,유럽
CommuteAir,커뮤트 에어 ,C5,UCA,Active,Regional/Commuter,United States of America,북미캐나다
Comores Air Service,코모레스 항공 서비스,n/a,n/a,Active,Charter,Comoros,중동아프리카
Comores Aviation,코모레스 항공,n/a,KMZ,Active,Charter,Comoros,중동아프리카
Comoro Islands Airline,코모로 제도 항공,n/a,n/a,Ceased Operations,Full Service Carrier,Comoros,중동아프리카
Compagnie Africaine d'Aviation,아프리카 항공 ,BU,DBP,Active,Charter,Democratic Republic of the Congo,중동아프리카
Compagnie Nationale Air Guinee,에어 기니,n/a,n/a,Ceased Operations,Full Service Carrier,Guinea,중동아프리카
Compass Airlines,컴퍼스 항공,CP,CPZ,Ceased Operations,Regional/Commuter,United States of America,북미캐나다
Compass Cargo Airlines,컴퍼스 화물항공,HQ,ADZ,Active,Cargo,Bulgaria,유럽
Conair Aviation,콘에어 항공,n/a,FGD,Active,Charter,Canada,북미캐나다
Condor Flugdienst,콘도르 플루그디엔스트,DE,CFG,Active,Full Service Carrier,Germany,유럽
Congo Airways,콩고 항공,8Z,COG,Active,Full Service Carrier,Democratic Republic of the Congo,중동아프리카
Congo Express,콩고 익스프레스,XZ,EXY,Ceased Operations,Regional/Commuter,Democratic Republic of the Congo,중동아프리카
Connect Airlines,컨넥트 항공,MW,WZM,Failed startup,Regional/Commuter,United States of America,북미캐나다
Connect Cargo,컨넥트 화물항공,6C,CNT,Active,Cargo,Brazil,중남미
Conquest Air Cargo,콘퀘스트 항공 화물,C4,QAI,Active,Cargo,United States of America,북미캐나다
Constanta Airlines,콘스탄타 항공,n/a,UZA,Active,Charter,Ukraine,유럽
Contact Air,콘택트 에어,n/a,n/a,Ceased Operations,Regional/Commuter,Germany,유럽
Contigo Peru,콘티고 페루 항공,n/a,n/a,Failed startup,Low Cost Carrier,Peru,중남미
Contour Airlines,컨투어 항공,LF,VTE,Active,Regional/Commuter,United States of America,북미캐나다
Contract Air Cargo,콘트렉트 화물항공,n/a,n/a,Active,Cargo,United States of America,북미캐나다
Conviasa,콘비아사,V0,VCV,Active,Full Service Carrier,Venezuela,중남미
Copa Airlines,코파 항공,CM,CMP,Active,Full Service Carrier,Panama,중남미
Copa Airlines Colombia,코파 항공 콜롬비아,P5,RPB,Active,Regional/Commuter,Colombia,중남미
Coral Jet,코랄 제트,n/a,n/a,Startup,Full Service Carrier,Bermuda,북미캐나다
Corendon Airlines,코렌돈 항공,XC,CAI,Active,Charter,Turkiye,유럽
Corendon Airlines Europe,코렌돈 항공 유럽,XR,CXI,Active,Charter,Malta,유럽
Corendon Dutch Airlines,코렌돈 네덜란드 항공,CD,CND,Active,Charter,Netherlands,유럽
Corporate Air Australia,코퍼레이트 에어 오스트레일리아,FC,n/a,Active,Charter,Australia,아시아태평양
Corporate Air USA,코퍼레이트 에어 미국,n/a,CPT,Active,Cargo,United States of America,북미캐나다
Corsair,코르스에어,SS,CRL,Active,Full Service Carrier,France,유럽
Cosmo Airlines,코스모 항공,n/a,n/a,Ceased Operations,Charter,Spain,유럽
Cosmos Air Cargo,코스모스 화물항공,n/a,KMS,Active,Cargo,Colombia,중남미
Costa Airlines,코스타 항공,n/a,COT,Startup,Regional/Commuter,Venezuela,중남미
Costa Rica Green Airways,코스타리카 그린 항공,n/a,CRG,Active,Charter,Costa Rica,중남미
Coyne Airways,코인 항공,7C,COY,Active,Cargo,United Kingdom,유럽
Croatia Airlines,크로아티아 항공,OU,CTN,Active,Full Service Carrier,Croatia,유럽
Cronos Airlines,크로노스 항공,C8,CRA,Active,Regional/Commuter,Equatorial Guinea,중동아프리카
Crown Airlines,크라운 항공,n/a,CWN,Startup,Full Service Carrier,Libya,중동아프리카
Cruzeiro Taxi Aereo,크루즈 에어택시,n/a,n/a,Active,Charter,Brazil,중남미
Crystal AirCruises,크리스탈 에어크루즈,n/a,n/a,Active,Virtual Carrier,United States of America,북미캐나다
CSA Air,CSA 에어,n/a,IRO,Active,Charter,United States of America,북미캐나다
CSA Czech Airlines,CSA 체코 항공,OK,CSA,Active,Full Service Carrier,Czech Republic,유럽
CTK Citylink,CTK 시티링크 항공,n/a,n/a,Ceased Operations,Charter,Ghana,중동아프리카
Cubana de Aviacion,쿠바 항공,CU,CUB,Active,Full Service Carrier,Cuba,중남미
CV Cargo,CV 화물항공,n/a,GSE,Ceased Operations,Cargo,Colombia,중남미
Cycladic,키클라데스 항공,n/a,n/a,Active,Regional/Commuter,Greece,유럽
Cygnus Air,시그너스 에어,n/a,RGN,Active,Cargo,Spain,유럽
Cyprus Airways,키프로스 항공 ,CY,CYP,Ceased Operations,Full Service Carrier,Cyprus,유럽
Cyprus Airways,키프로스 항공,CY,CYP,Ceased Operations,Full Service Carrier,Cyprus,유럽
Czech Connect Airlines,체코 코넥트 항공,CQ,CCG,Ceased Operations,Regional/Commuter,Czech Republic,유럽
Daallo Airlines,달로 항공,D3,DAO,Active,Regional/Commuter,Djibouti,중동아프리카
DAC Aviation,DAC 항공,n/a,n/a,Active,Charter,Kenya,중동아프리카
Dagestan Airlines,다게스탄 항공,N2,DAG,Ceased Operations,Full Service Carrier,Russian Federation,유럽
Daily Air,데일리 에어,n/a,n/a,Active,Charter,Taiwan,아시아태평양
Dalavia,달라비아항공,n/a,n/a,Ceased Operations,Full Service Carrier,Russian Federation,유럽
Dalian Airlines,대련 항공,n/a,CCD,Active,Full Service Carrier,China,아시아태평양
dalmatian,달마시안,n/a,n/a,Ceased Operations,Low Cost Carrier,Croatia,유럽
Damal Airlines,다말 항공,n/a,n/a,Ceased Operations,Charter,Central African Republic,중동아프리카
Dan Air,단에어,DN,JOC,Active,Charter,Romania,유럽
Dana Air,다나 항공,9J,DAN,Active,Full Service Carrier,Nigeria,중동아프리카
Danaus Airlines,다나우스 항공,n/a,n/a,Active,Charter,Mexico,중남미
Danube Wings,다뉴브 윙,V5,VPA,Ceased Operations,Regional/Commuter,Slovakia,유럽
Dart Airlines,다트 항공,n/a,n/a,Ceased Operations,Full Service Carrier,Ukraine,유럽
DAT,DAT 항공,DX,DTR,Active,Regional/Commuter,Denmark,유럽
Dauria,다우리아,n/a,n/a,Active,Charter,Russian Federation,유럽
DC Aviation Al-Futtaim ,DC 항공 알푸타임,n/a,DCF,Active,Charter,United Arab Emirates,중동아프리카
Deer Jet,디어제트항공,DF,BDJ,Active,Charter,China,아시아태평양
Delta AirLines,델타항공,DL,DAL,Active,Full Service Carrier,United States of America,북미캐나다
Delta K,델타 K,n/a,n/a,Active,Charter,Russian Federation,유럽
Delta Private Jets,델타 프리베이트 제트,n/a,DPJ,Active,Charter,United States of America,북미캐나다
Delta World Charter,델타 월드 차터,n/a,n/a,Active,Charter,United Arab Emirates,중동아프리카
Denim Air,데님 에어 ,G6,DNM,Ceased Operations,Regional/Commuter,Netherlands,유럽
Deraya Air Taxi,데라야 에어 택시,n/a,DRY,Active,Charter,Indonesia,아시아태평양
Desert Air,데저트 항공,n/a,n/a,Active,Charter,Namibia,중동아프리카
Dexter Air Taxi,덱스터 항공,n/a,DXT,Active,Charter,Russian Federation,유럽
DHL Aero Expreso,DHL 에어로 익스프레스,D5,DAE,Active,Cargo,Panama,중남미
DHL Air Austria,DHL 에어 오스트리아,Q7,DHA,Active,Cargo,Austria,유럽
DHL Air UK,DHL 에어 영국,D0,DHK,Active,Cargo,United Kingdom,유럽
DHL de Guatemala,DHL 과테말라,L3,JOS,Active,Cargo,Guatemala,중남미
DHL Ecuador,DHL 에콰도르,7T,RTM,Active,Cargo,Ecuador,중남미
DHL International Aviation ME,DHL 국제항공 ME,ES,DHX,Active,Cargo,Bahrain,중동아프리카
Diexim Expresso,다이심 익스프레스,n/a,n/a,Ceased Operations,Charter,Angola,중동아프리카
Dimonim Air,디모님 에어,n/a,n/a,Active,Charter,Indonesia,아시아태평양
Direct Aero Services,다이렉트 에어로 서비스,n/a,n/a,Ceased Operations,Charter,Romania,유럽
Direct Avia,다이렉트 아비아항공,n/a,n/a,Startup,Cargo,Russian Federation,유럽
DirectAir,다이렉트 에어,D1,n/a,Ceased Operations,Charter,United States of America,북미캐나다
Direktflyg,다이렉트플라이그,HS,HSV,Ceased Operations,Regional/Commuter,Sweden,유럽
Discover Airlines,디스커버 항공,4Y,OCN,Active,Full Service Carrier,Germany,유럽
DiscoveryAir,디스커버리에어,DO,DCV,Ceased Operations,Full Service Carrier,Nigeria,중동아프리카
Divi Divi Air,디비 디비 에어,3R,DVR,Active,Charter,Curacao,중남미
Djibouti Airlines,지부티 항공,D8,DJB,Ceased Operations,Regional/Commuter,Djibouti,중동아프리카
Dlimi Airlines,딜리미 항공,n/a,n/a,Startup,Low Cost Carrier,Morocco,중동아프리카
Dniproavia,드니프로아비아,Z6,UDN,Ceased Operations,Regional/Commuter,Ukraine,유럽
Dobrolet,도브로레 항공,QD,DBR,Ceased Operations,Low Cost Carrier,Russian Federation,유럽
Dodson International Charter,도드손 국제화물항공,n/a,n/a,Active,Charter,South Africa,중동아프리카
Dog is my Copilot Inc,도그 이즈 마이코 파일럿,n/a,n/a,Active,Charter,United States of America,북미캐나다
Dolphin Air,돌핀 에어,n/a,FDN,Ceased Operations,Charter,United Arab Emirates,중동아프리카
Dominican Wings,도미니칸 윙즈,DM,DWI,Ceased Operations,Charter,Dominican Republic,중남미
Domrey Angkor Airlines,돔레이 앙코르 항공,n/a,n/a,Startup,Full Service Carrier,Cambodia,아시아태평양
Donbassaero,돈바사아에로,7D,UDC,Ceased Operations,Full Service Carrier,Ukraine,유럽
Donghai Airlines,둥하이 항공,DZ,EPA,Active,Full Service Carrier,China,아시아태평양
DOT LT,도트 LT,R6,DNU,Active,Regional/Commuter,Lithuania,유럽
Dove Air Services,도브 에어 서비스,n/a,DOV,Active,Charter,Sudan,중동아프리카
DRB-HICOM Asia Cargo Express,DRB-HICOM 아시아화물항공,3G,GSB,Ceased Operations,Cargo,Malaysia,아시아태평양
Dream Wind,드림윈드 항공,n/a,n/a,Active,Charter,Ukraine,유럽
Drukair,드루크 에어,KB,DRK,Active,Full Service Carrier,Bhutan,아시아태평양
Dutch Antilles Express,더치 앤틸리스 익스프레스,9H,DNL,Ceased Operations,Regional/Commuter,Curacao,중남미
Dux Express,덕스 익스프레스,n/a,n/a,Startup,Regional/Commuter,Brazil,중남미
Dynamic Airways,다이나믹 항공,2D,DYA,Ceased Operations,Charter,United States of America,북미캐나다
Dynamic Aviation Group,다이나믹 항공 그룹,n/a,n/a,Active,Charter,United States of America,북미캐나다
Eagle Air Guinea,이글 에어 기니,n/a,n/a,Active,Charter,Guinea,중동아프리카
Eagle Air Uganda,이글 에어 우간다,H7,EGU,Active,Regional/Commuter,Uganda,중동아프리카
Eagle Airways,이글 항공,n/a,n/a,Ceased Operations,Regional/Commuter,New Zealand,아시아태평양
Eagle Atlantic Airlines,이글 애틀랜틱 항공,E2,EAB,Ceased Operations,Full Service Carrier,Ghana,중동아프리카
Eagles Airlines,이글스 항공,E3,EGS,Ceased Operations,Regional/Commuter,Italy,유럽
Eaglexpress Air Charter,이글익스프레스 화물항공,9A,EZX,Ceased Operations,Charter,Malaysia,아시아태평양
East Air,이스트 에어,EG,ETJ,Ceased Operations,Charter,Tajikistan,아시아태평양
East Horizon Airlines,이스트 호라이존 항공,EA,EHN,Ceased Operations,Full Service Carrier,Afghanistan,중동아프리카
Eastar Jet,이스타항공,ZE,ESR,Active,Low Cost Carrier,South Korea,아시아태평양
Eastern Air Cargo,이스튼 항공화물,n/a,EAL,Startup,Cargo,United States of America,북미캐나다
Eastern Air Services,이스턴항공서비스,n/a,n/a,Active,Charter,Australia,아시아태평양
Eastern Airlines,이스턴 항공,2D,EAL,Active,Full Service Carrier,United States of America,북미캐나다
Eastern AirLines,이스턴 항공,2D,EAL,Ceased Operations,Charter,United States of America,북미캐나다
Eastern Airways,이스턴 에어웨이,T3,EZE,Active,Regional/Commuter,United Kingdom,유럽
